id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,uplifting|nostalgic|danceable
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2020s,calm|focused|mellow
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2010s,aggressive|driving|intense
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,38,2020s,nostalgic|melancholic|calm
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,euphoric|motivational|energetic
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,30,2010s,dreamy|introspective|calm
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,42,2000s,mellow|nostalgic|warm
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,55,2010s,moody|nostalgic|cinematic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,48,2020s,calm|focused|mellow
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,66,2010s,romantic|uplifting|nostalgic
11,Thunder Protocol,Voltline,rock,intense,0.88,144,0.42,0.61,0.08,58,2010s,aggressive|driving|intense
12,Velvet Espresso,Slow Stereo,jazz,relaxed,0.32,85,0.75,0.50,0.91,39,2000s,mellow|romantic|warm
13,Rainy Sunday,Paper Lanterns,folk,chill,0.30,68,0.68,0.45,0.94,35,2010s,nostalgic|melancholic|introspective
14,Neon Pulse,Bass Unit,electronic,intense,0.95,140,0.72,0.91,0.03,72,2020s,euphoric|energetic|danceable
15,Golden Hour,Indigo Parade,indie pop,happy,0.70,116,0.88,0.78,0.42,63,2020s,romantic|uplifting|warm
16,Late Night Feels,Orbit Bloom,r&b,moody,0.62,96,0.55,0.71,0.28,68,2010s,moody|romantic|introspective
17,Backyard BBQ,The Drifters,country,happy,0.65,104,0.83,0.74,0.68,52,2010s,nostalgic|warm|uplifting
18,Deep Focus,LoRoom,lofi,focused,0.38,76,0.57,0.55,0.80,41,2020s,calm|focused|mellow
19,Glass Mountain,Paper Lanterns,ambient,chill,0.22,55,0.70,0.38,0.95,27,2010s,dreamy|introspective|calm
20,Street Anthem,Nova Crew,hip-hop,intense,0.85,98,0.60,0.83,0.12,76,2020s,aggressive|euphoric|motivational
